喂，你好。你好，就是我送包那个。什么？你现在到哪里了？我现在就跟上面导航走的。啊？我说你上面导航，我跟着上面导航走的是吧？按导航走的，就是这个电话号码，你等下打应该打得通。就这个？对，就这个号码。对，你等下就按这个号码打。我等下打你电话就行了是吧？对。行，行，我到时候给你打个电话。好，拜拜。	1
喂。喂，你好，您在哪呢？马上到中心医院门口，您在哪？我就在中心院里边，您在哪，那个口？我也不知道，他这是到卸货去，我到正门口行吗？您往前走走，我不知道你在哪，你看你等会到了地方，你给我打电话，你跟我说在哪，我去找你。咱们正门见，我就在联合桥，马上就到了，正门。行吗？行，正门啊？恩。正门东西那么多，我也搬不进来。也应该差不多。你开什么车。我骑个电动。你电动你往里边走走就行。我知道，关键是我不知道往哪走，你在你过来，你到地方你跟我说，你跟我说，我去接你去。我就到了，您过来吗？正门对吧？哪个门，正门是上面写的什么？是寒湿方，还是写的中心医院大厅。稍等一下，我在这桥下边还看不见那。你在桥下面，您上来，你不能在桥下，你在桥下面，我去哪？对，我肯定上去，我这骑着，就是说应该是这叫西这叫哪个门？这叫？东西南北，西南门。是地铁站的吗？不是，我上来我看一眼我就知道。京东进院饭店写的是，那个门。行，我知道，你知道在哪了。好嘞。我用得着进去吗？用得着进去吗？还是从外边走？你不用进，你得从那胡同，你不是在中心医院那口上的，要去进那胡同，进那个胡同。胡同？这是我在这是往北走了。 东西南北我也分不清了，等我先出个大门， 我出这个门，我给你看你在哪。行， 你稍等，我这往北走了， 好，看您了。 	1
1、喂，你好，2、喂您好我是闪送，1、啊，我下去，你到了么，2、我到了，我现在在一楼放餐区的架子这，1、诶，行，谢谢啊，那个不用运费是吧，2、不用，1、诶，好嘞谢谢，再见，2、行，您下来，我等一下，1、诶诶诶，好嘞	0
喂。喂，你好，我这边闪送，想问一下你那个地址是通州检小学那会是吧？哪？看上写的是什么通州检小学附近工地。对，通州检小学向西走50米，路南边有一个铁门。行，好勒。好。再见。	1
喂。喂，你好，闪送，送油漆的。送油漆的，你是不是秀水街那里？对，你在哪？我没在，我给打电话让他过去取一下。 我在东门等着好不好？你去北门。北门，行。北门，你开车了吗？我骑着摩托车，我在北门路边等着。北门的门口。门口。店门口北门。我查不了两步，你把收件密码你顺便告诉他。对，不是说差不两步，我给确定好位置， 我要让他去找你，对不对？ 我抱着油漆他们不认识？那那知道。油漆他不认识？行，我在北门。 	1
喂。喂，你好，大哥，我这边闪送员给你送物品的，你这个是月季园一进铁门，完了就写的一号楼，一号楼这个是这个吗？哪儿？月季园从铁门进来，大门进来他就有一号楼16层。16层几单元？啊？我看他这好像分单元的，这个楼，不是这号楼，不是这个一号。他没有带上门，他直接就是一个门。直接就一个门。北门进去你知道吗？他北门通车的那个门，然后一进去之后， 然后左手边不就有个一号楼吗？对，我现在就在这楼下， 我看这楼挺大，他们从哪边进？里边吗？啊？我说我就在这楼下，这楼在哪个？我现在还没到这一块。F，我不认识，大哥谢谢您，你什么时候能到？我还得一个多小时。这个物品放哪？你送的是啥送的是瓷砖。啊？瓷砖。你要不就去到16层，16层然后他然后16层他有个楼梯口，你知道吗？我下边有个边上有个大洞，昨天打的洞，你一上去那边就有个门，新换的门，你就放到门口就行。 你把收件码给我呗大哥。我看一下，你稍等一下。好的。好的，530566。等一下，我记一下子，大哥。530556，好。好，行，行。再见大哥。	1
1、喂您好，2、喂您好我是闪送，我那个我大概还有15分钟到海淀大院右区，1、可以，啊，在家呢，您送过来吧，好吧，2、几号楼啊 我还没仔细看几号楼，1、6号楼，一进门这楼，6号楼12A，诶，好吧，2、行，谢谢，1、诶诶，好	1
1喂，你好。喂，您好，闪送，然后您具体地址在哪？我现在在东天阳你知道吗？我还没到，我正往那边走，我知道东天阳村。对，东天阳村，然后正好在顶西边这边，有一个黄房子这边，就挨着东阳西口这边，您知道吗？ 有个电线杆这边，你知道吗？东田阳您边上有什么？我能直接导航过去吗？边上的话它要不这样，我加一个微信，你发一个位置行吗？行。稍等一下，您说。13811。13811是吧？151160。1381195。60。60是吧？对。160，13811951160是吧？对。你怎么称呼？您姓什么？高。行，好了，我现在加你发一个位置好吗？你快到了之后我就出去好吗？好的。好，再见。	1
喂。喂，你好，我刚拿的货，20分钟左右，是这上衣大小当面了，还是那个位置是吧？我以前给你送过，好像我记得。赶紧的。过去了。	1
喂，你好。喂，你几点能到阳光都市？马上到，再有个几分钟就到。几分钟，好。	0
